agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
749468,208.5313, 25.775, 39.3, 2737., 7.65, 8.38, 0.7276,-14.36, 7.5758, 0.8042
  8821,208.5467,  5.227, 24.7, 1723., 9.68, 9.40,-0.2789,-19.53, 9.6455,-0.2455
231980,208.6396,  4.244,  2.6,  559., 5.75, 6.11, 0.3612, -7.85, 4.9720, 1.1380
  8831,208.7433,  5.333, 23.8, 1639.,10.00, 8.81,-1.1943,-20.56,10.0547,-1.2447
232141,208.7688,  5.189, 24.1, 1670., 8.13, 8.39, 0.2629,-15.67, 8.1019, 0.2881
  8838,208.9113,  4.985, 21.3, 1441., 8.61, 7.81,-0.7955,-17.02, 8.6388,-0.8288
238643,208.9929,  8.993, 22.3, 1485., 7.17, 7.61, 0.4381,-13.64, 7.2875, 0.3225
  8847,209.0304,  5.255, 20.8, 1403., 8.22, 8.28, 0.0642,-17.24, 8.7294,-0.4494
232142,209.0392,  5.543, 20.3, 1366., 7.80, 7.90, 0.0992,-14.29, 7.5485, 0.3515
  8853,209.0500,  5.014, 22.2, 1511., 9.83, 9.78,-0.0470,-20.35, 9.9710,-0.1910
233571,209.4208, 15.373, 22.9, 1501., 8.14, 8.74, 0.6049,-15.34, 7.9670, 0.7730
230880,209.5992, 25.550, 30.2, 2832., 9.03, 9.02,-0.0130,-17.77, 8.9403, 0.0797
233718,209.6808, 14.261, 23.1, 1530., 8.09, 8.01,-0.0802,-15.56, 8.0580,-0.0480
732832,209.6875, 24.151, 18.4, 1208., 7.92, 7.58,-0.3390,-15.30, 7.9511,-0.3711
  8915,209.9113, 26.228, 37.3, 2576., 8.65, 9.29, 0.6375,-17.13, 8.6838, 0.6062
732861,210.7271, 24.851, 36.7, 2532., 8.62, 8.64, 0.0157,-16.78, 8.5446, 0.0954
240021,210.8104, 16.006, 38.6, 2729., 8.48, 8.72, 0.2430,-16.43, 8.4031, 0.3169
  8995,211.1971,  8.801, 23.8, 1491., 9.19, 9.18,-0.0081,-18.22, 9.1217, 0.0583
  9020,211.6325,  6.029, 20.9, 1279., 9.62, 8.76,-0.8586,-19.66, 9.6959,-0.9359
243852,211.7688, 10.713, 21.5, 1429., 7.88, 7.90, 0.0186,-14.99, 7.8298, 0.0702
242151,212.4071,  5.096, 29.0, 2065., 8.56, 7.85,-0.7143,-16.85, 8.5704,-0.7204
241411,212.6013, 16.112, 36.2, 2534., 9.29, 8.93,-0.3583,-18.77, 9.3396,-0.4096
241261,212.5996, 16.183, 37.4, 2626., 9.03, 9.31, 0.2779,-17.93, 9.0037, 0.3063
749330,213.3712, 27.081, 40.8, 2806., 7.33, 8.15, 0.8203,-13.57, 7.2609, 0.8891
243830,213.6812, 10.075, 21.8, 1461., 6.14, 7.77, 1.6338, -9.77, 5.7400, 2.0300
  9119,213.7183, 25.317, 18.2, 1255., 9.43, 9.44, 0.0132,-19.04, 9.4494,-0.0094
240228,214.2383,  3.834, 24.5, 1716., 6.96, 9.09, 2.1262,-13.40, 7.1918, 1.8982
242152,214.2813,  4.837, 26.6, 1873., 7.83, 7.87, 0.0449,-14.93, 7.8036, 0.0664
243881,214.4612,  6.840, 21.9, 1493., 7.40, 8.48, 1.0777,-13.63, 7.2830, 1.1970
244129,214.7229,  9.291, 21.7, 1456., 7.65, 7.56,-0.0923,-14.55, 7.6520,-0.0920
  9169,214.9362,  9.362, 15.6, 1522., 8.92, 9.17, 0.2462,-17.47, 8.8201, 0.3499
  9172,215.0183,  3.992, 27.8, 1972.,10.06, 9.12,-0.9446,-20.66,10.0967,-0.9767
  9175,215.0833,  3.933, 24.8, 1735.,10.39, 9.21,-1.1800,-21.79,10.5483,-1.3383
  9176,215.1337,  3.983, 28.4, 2014., 9.06, 9.23, 0.1715,-18.04, 9.0488, 0.1812
